epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,995.875,0.71951,0.47005,0.88754,0.9869,0.96522,0.99345,0.89137,0.48018,0.28629,0.81871,0.0670059,0.000333274,0.000333274
2,1875.68,0.535,0.3162,0.83469,0.9969,0.9976,0.99495,0.8938,0.4177,0.24502,0.80274,0.0339399,0.000600613,0.000600613
3,2736.49,0.47775,0.28246,0.82021,0.99741,0.99769,0.99491,0.91819,0.38118,0.22178,0.79592,0.000807878,0.000801952,0.000801952
4,3592.95,0.43385,0.2587,0.81092,0.99746,0.99759,0.99495,0.91115,0.41123,0.21739,0.80034,0.000703,0.000703,0.000703
5,4445.53,0.40279,0.24413,0.80377,0.998,0.99799,0.99493,0.9124,0.42068,0.21522,0.80014,0.000604,0.000604,0.000604
6,5298.67,0.37348,0.22796,0.79824,0.99833,0.99916,0.99498,0.91314,0.40088,0.20872,0.79672,0.000505,0.000505,0.000505
7,6157.74,0.35302,0.21735,0.7939,0.99665,0.99815,0.99476,0.90517,0.41607,0.2072,0.79949,0.000406,0.000406,0.000406
8,7021.1,0.33255,0.20666,0.79047,0.99537,0.99612,0.99432,0.89714,0.44837,0.22283,0.80689,0.000307,0.000307,0.000307
9,7866.01,0.31396,0.19638,0.78712,0.99644,0.99849,0.99464,0.8841,0.48685,0.22594,0.8156,0.000208,0.000208,0.000208
10,8701.2,0.29656,0.18705,0.78475,0.99185,0.99712,0.9939,0.86751,0.52619,0.24648,0.82725,0.000109,0.000109,0.000109
